place_id,place_name,rating,total_number_of_ratings,price_level,address,city,zip_code
ChIJleWegJHTD4gRsIMGm3IjUcM,yolk - test kitchen,4.4,180,2,1767 n milwaukee ave,chicago,60647
ChIJI1dehI0xDogRRkvKIpUspHM,las asadas restaurant,4,166,2,3834 w 47th st,chicago,60632-4136
ChIJBRuLGC_MD4gRfUVkzaQBIZk,mini palapita,4.3,342,1,4968 n elston ave,chicago,60630
ChIJ-auSyWItDogRQwUqcwljejE,crazy bird chicken,4.7,67,nan,1160 w grand ave,chicago,60642-5837
ChIJIYRFg7IsDogRAW0zLguKL-A,redhead piano bar,4.2,989,2,16 w ontario st,chicago,60654
ChIJTW33Mf8sDogRiUnjYL3R_ck,haisous vietnamese kitchen,4.4,483,2,1800 s carpenter st,chicago,60608
ChIJ5dzicc82DogRAgt6UbqYZO0,harmony restaurant,4.3,303,1,6525 w archer ave,chicago,60638
ChIJKZPKuZzTD4gRdrBluOezgiI,himalayan sherpa kitchen,4.8,75,nan,2701 w lawrence ave,chicago,60625
ChIJtYr4-kUvDogRSldaqlz8S0I,maxwell street express,4.1,365,1,7901 s wentworth ave,chicago,60620
ChIJ3Y3Wx5YxDogR4InextcWNAs,domino's pizza,3.4,331,1,5016 s pulaski rd,chicago,60632
ChIJk6AQeNotDogRSYiKuU0vC50,avli river north,4.3,8,nan,702 n wells st,chicago,60654
ChIJfyRm5UskDogRm6rm5r8cYR8,sharks fish & tony's steak,4,675,nan,805 w 111th st,chicago,60643-3801
ChIJO7XGtKTSD4gRJFn6EFcbOzw,new china station,3.6,113,1,2411 w north ave,chicago,60647
ChIJVwHOlyi0D4gRNjLVMUoK00A,romano's macaroni grill,3.7,860,2,chicago,60666
ChIJO_rhitssDogRcLK0gyPMFFU,stelios bottles & bites,4.6,62,nan,19 s morgan st,chicago,60607
ChIJ10rNfwrRD4gRSjnpjnj4iTU,loyola university (simpson living-learning center),4.9,10,nan,6333 n winthrop ave,chicago,60660-0808
ChIJo_4DJAG3D4gRPsUur_-crLQ,mcdonald's,3.6,468,1,1101 e oakton st,des plaines,60018
ChIJ8dmDsngyDogR9fVU3ei4oeQ,apollos 2000,4.1,132,nan,2875 w cermak rd,chicago,60608
ChIJZ5jUr4bSD4gRRWEDncTz1AE,arbor,4.5,104,1,w diversey ave,chicago,60647
ChIJO3DkVAnND4gR6k_9s99ZXlI,el guanaco,4,105,1,3802 w diversey ave,chicago,60647
ChIJk8P6YM_ND4gRVbEpbXPtduQ,campesino restaurant,5,1,nan,3207-09 w lawrence ave,chicago,60625
