,zip_code,life_quality_index
0,60603,90
1,60604,90
2,60610,90
3,60654,89
4,60605,89
5,60611,88
6,60602,88
7,60601,88
8,60606,88
9,60642,87
10,60661,87
11,60614,87
12,60607,86
13,60613,85
14,60657,85
15,60622,84
16,60616,83
17,60615,82
18,60660,81
19,60625,80
20,60640,80
21,60612,80
22,60647,80
23,60608,80
24,60618,79
25,60626,79
26,60653,79
27,60659,79
28,60641,78
29,60645,78
30,60630,78
31,60646,77
32,60631,76
33,60634,75
34,60656,74
35,60637,74
36,60609,74
37,60707,73
38,60639,72
39,60624,72
40,60621,72
41,60623,72
42,60649,71
43,60632,71
44,60651,71
45,60655,71
46,60652,69
47,60643,69
48,60636,68
49,60617,68
50,60619,68
51,60644,68
52,60629,67
53,60633,65
54,60620,65
55,60638,65
56,60628,63
57,60827,62
