,place_id,place_name,latitude,longitude,address,zip_code,rating,total_number_of_ratings
0,ChIJleWegJHTD4gRsIMGm3IjUcM,yolk test kitchen,41.91358779004821,-87.6822028354253,1767 n milwaukee ave,60647.0,4.4,180.0
1,ChIJI1dehI0xDogRRkvKIpUspHM,las asadas mexican grill,41.80802515275297,-87.72003743037237,3834 w 47th st,60632.0,4.0,166.0
5,ChIJBRuLGC_MD4gRfUVkzaQBIZk,mini palapita inc.,41.970833760208265,-87.74482421972742,4968 n elston ave,60630.0,4.3,342.0
7,ChIJ-auSyWItDogRQwUqcwljejE,crazy bird,41.89119348444125,-87.65705497652716,1160 w grand ave,60642.0,4.7,67.0
9,ChIJIYRFg7IsDogRAW0zLguKL-A,the redhead piano bar,41.893370903547904,-87.62878315259044,16-18 w ontario st,60654.0,4.2,989.0
11,ChIJ5dzicc82DogRAgt6UbqYZO0,harmony restaurant,41.792163848654795,-87.78540566160221,6525 w archer ave,60638.0,4.3,303.0
12,ChIJKZPKuZzTD4gRdrBluOezgiI,himalayan sherpa kitchen,41.968442053562335,-87.69630357897282,2701 w lawrence ave,60625.0,4.8,75.0
13,ChIJtYr4-kUvDogRSldaqlz8S0I,maxwell street express,41.7360797687383,-87.65085877776569,1058 w 87th st,60620.0,4.1,365.0
15,ChIJ3Y3Wx5YxDogR4InextcWNAs,domino's pizza,41.801786842810614,-87.72355455269388,5016 s pulaski rd,60632.0,3.4,331.0
17,ChIJk6AQeNotDogRSYiKuU0vC50,avli river north,41.89483049188808,-87.63430053853016,700-702 n wells st,60654.0,4.3,8.0
19,ChIJfyRm5UskDogRm6rm5r8cYR8,sharks fish tony steak,41.692244366177825,-87.64262037785444,805 w 111th st,60643.0,4.0,675.0
20,ChIJO7XGtKTSD4gRJFn6EFcbOzw,new china station,41.910205129391386,-87.68770229368916,2411 w north ave,60647.0,3.6,113.0
23,ChIJVwHOlyi0D4gRNjLVMUoK00A,macaroni grill,42.008536400868735,-87.91442843927048,11601 w touhy ave,60666.0,3.7,860.0
24,ChIJO_rhitssDogRcLK0gyPMFFU,stelio's bottles & bites,41.881102463653505,-87.65186501694456,19 s morgan st,60607.0,4.6,62.0
31,ChIJZ5jUr4bSD4gRRWEDncTz1AE,arbor,41.932024920103814,-87.69216904438716,2545 w diversey ave,60647.0,4.5,104.0
32,ChIJO3DkVAnND4gR6k_9s99ZXlI,el guanaco,41.931959438085926,-87.72223430061649,3802 w diversey ave,60647.0,4.0,105.0
33,ChIJk8P6YM_ND4gRVbEpbXPtduQ,campesino restaurant,41.968336274546,-87.70878272483317,3207-3209 w lawrence ave,60625.0,5.0,1.0
34,ChIJAdR9Cr4sDogRBUmDi4xUdqc,taco burrito king,41.87669790361039,-87.63354313948199,405 s wells st,60607.0,3.9,193.0
35,ChIJT8Iak_8tDogRaLHBn_ysQGU,d'nuez,41.81846434483413,-87.69688003750433,4125 s archer ave,60632.0,4.1,440.0
36,ChIJ7zvMixjSD4gRmh5s7oloPNk,vegetarian express,41.968330403151455,-87.67902762942835,4747 n damen ave,60625.0,4.6,82.0
38,ChIJaQvkeWLND4gR7dWuaDjRh5A,cafe mustache,41.92335589370735,-87.69785017026875,2313-2315 n milwaukee ave,60647.0,4.6,420.0
